sgRNA	KRAB-Day5-1	KRAB-Day5-2	KRAB-Day5-3	KRAB-Day7-1	KRAB-Day7-2	KRAB-Day7-3	KRAB-Day14-1	KRAB-Day14-2	KRAB-Day14-3	KRAB-Day21-1	KRAB-Day21-2	KRAB-Day21-3	SID-Day5-1	SID-Day5-2	SID-Day5-3	SID-Day7-1	SID-Day7-2	SID-Day7-3	SID-Day14-1	SID-Day14-2	SID-Day14-3	SID-Day21-1	SID-Day21-2	SID-Day21-3	Plasmid-1	Plasmid-2	Plasmid-3
ALG10B-1	11618	13470	15120	13487	14169	14490	11268	15292	13276	18871	17247	12940	15485	17471	15356	16921	12455	12637	12837	19596	14713	11603	13969	10222	8441	10256	9426
BRIX1-1	10414	11396	11566	12667	10043	11013	9534	13345	10876	15458	13286	10742	13421	13840	13930	12963	11595	11188	10967	13961	13846	11795	11935	13318	6443	7942	7019
CCNB3-1	16570	19653	19815	20419	21664	21484	16797	23011	20400	23704	22075	23503	22720	26004	26968	22088	19632	18594	19960	27101	23139	19615	24531	25452	25941	29680	24440
CCNB3-2	13938	17479	17881	18436	17123	18513	12823	20005	15832	18969	18306	14852	20775	22523	21593	17842	16162	17209	16620	20462	17731	18072	17224	20159	8778	11343	9892
CCT3-1	14859	18128	17510	18825	18139	18765	15577	21447	18734	20767	20812	21768	20788	20742	24308	20793	17844	17605	19945	24812	21237	22365	20377	18749	9078	11881	10359
CCT4-1	9662	11789	12862	11517	11396	10703	8630	11868	9228	12652	12694	11643	14560	15274	16533	12179	10239	12173	11239	13794	10780	11579	10704	11935	6975	8761	8158
CCT8-1	14452	18318	18322	17136	19056	19836	14321	18758	14715	20982	20572	20741	21237	21891	22432	17906	15378	15930	16014	22024	18462	16417	20896	21165	11139	14731	12423
CDC5L-1	9521	10803	11055	11387	11112	10012	7153	11052	10704	10471	13950	11307	12386	13663	13022	11717	10743	9599	12346	15604	10656	12090	11424	9762	6684	8780	7808
CHMP2A-1	10408	11557	11532	12801	12431	11013	9196	11414	9730	14390	12727	12855	15141	15493	14376	13901	12841	11333	12739	19152	11744	11450	18615	10728	7590	10275	8974
CLTC-1	15125	17820	20063	18570	16985	17279	15239	19113	18907	22018	19918	23579	24679	23000	25967	21212	15177	18143	19906	23923	18055	18312	19446	18651	10905	14099	12053
COPA-1	8016	9303	9515	9595	9302	10227	7232	8922	9105	12211	10582	11005	10949	12505	11811	9187	9897	9191	8300	12130	9588	6858	10707	8174	5780	7721	6403
COPS2-1	9619	10600	10490	10184	9989	11814	8341	10189	9997	11198	12051	9842	11826	13075	12961	11252	9452	11171	9926	12795	10815	9168	8334	10698	5988	8113	7021
COPS4-1	12142	15828	15858	17312	13538	14684	14911	18512	13251	18000	17921	18564	18076	18031	16320	16201	14723	14403	13452	19072	17124	12837	15667	14688	7661	9693	8629
