sgRNA	KRAB-Day5-1	KRAB-Day5-2	KRAB-Day5-3	KRAB-Day7-1	KRAB-Day7-2	KRAB-Day7-3	KRAB-Day14-1	KRAB-Day14-2	KRAB-Day14-3	KRAB-Day21-1	KRAB-Day21-2	KRAB-Day21-3	SID-Day5-1	SID-Day5-2	SID-Day5-3	SID-Day7-1	SID-Day7-2	SID-Day7-3	SID-Day14-1	SID-Day14-2	SID-Day14-3	SID-Day21-1	SID-Day21-2	SID-Day21-3
ALG10B-1	9058	10706	14936	13325	11792	11175	15077	11977	13842	11296	13547	13530	12736	11094	10716	8639	10316	13201	11250	14381	11087	11320	14406	12085
BRIX1-1	13023	15007	19744	19108	18000	16255	24309	18921	20645	17313	19806	18153	18913	15027	16120	13391	15438	19828	18520	17443	18303	20231	18295	20092
CCNB3-1	15343	17201	22811	18709	19144	17738	23688	16782	19492	16271	19285	17481	19142	17263	18248	15272	17249	20703	18330	19831	22443	19265	16116	22118
CCNB3-2	9145	11307	14687	11877	12385	11030	13468	11740	13296	11230	10218	12246	13675	11145	11700	10194	10459	15024	12303	12303	13974	13589	11448	12632
CCT3-1	11112	13454	17843	14578	14783	14126	13516	12025	11157	7878	9896	8277	15446	13145	15218	11596	13446	15889	14938	15240	15512	16238	11532	21066
CCT4-1	7595	9272	11761	11204	9952	9190	10950	8179	9999	8051	10351	8740	10203	7687	9058	7486	8562	10890	9805	10139	9271	7398	12604	8962
CCT8-1	13977	13087	22027	18654	17788	16983	20577	16375	21777	15634	19537	19326	18678	15574	16681	13615	16653	21534	19096	21249	18514	19588	24074	14355
CDC5L-1	5995	7057	9912	8894	8067	7206	10051	7901	8399	6962	7053	7026	8070	7222	7688	6073	7048	10985	7843	8265	7433	8771	9193	5509
CHMP2A-1	7943	9859	14017	13071	12865	13095	15843	11715	14654	11741	12560	15434	12201	10561	11717	7828	10984	13216	11296	13644	13603	12425	19010	16224
CLTC-1	10192	12410	18024	16600	16236	13510	18412	15989	16889	13822	15617	16768	14550	13086	12845	9924	11995	15633	13310	14605	12791	15300	13827	14725
COPA-1	8057	8243	12412	10783	9786	9518	13400	8633	11828	8444	8867	11333	10912	8727	9017	8540	8468	10139	10227	10758	9728	14821	8787	11831
COPS2-1	8330	7783	11915	11106	10796	10172	13632	10305	9567	10925	9226	9875	10370	7119	10238	7390	8231	10724	8719	9664	11341	10618	10303	8965
COPS4-1	12573	14282	18410	18767	16750	16883	19298	14806	16763	14171	16826	15985	15712	12184	15594	12412	14611	18568	13802	17923	18514	13240	17004	19880
COPZ1-1	7021	7249	11169	10142	8892	8923	10653	8082	9519	8163	7675	7499	9654	8297	7947	5975	6486	10684	8706	9197	10833	7786	7793	13326
CYP1A2-1	16101	19569	27438	23074	22753	20617	31100	20043	22819	20249	23092	24079	22565	18170	21398	18984	19199	25808	24477	26000	25465	24290	23866	29117
CYP1A2-2	12589	13453	18375	16107	14987	14447	17950	14241	14833	12408	16121	14340	15335	13439	13471	10987	11999	15636	14390	15765	17642	13977	18233	15908
DDX18-1	7381	7934	10349	9567	9326	8955	12099	8595	9547	7511	9772	8349	8900	8032	7576	7117	8194	8205	9204	10173	9226	12037	11739	9633
DYNC1I2-1	13585	15710	24638	21150	20318	17823	26182	18510	21194	18106	22751	21126	18890	17274	18689	13897	16285	23424	15193	20563	20145	21079	20640	32815
DYNC1I2-2	12446	14634	19999	17971	15790	16410	21103	14010	18899	14300	15555	17548	16861	13257	15808	11153	14197	18991	15928	18059	16360	15353	15854	15201
EFTUD2-1	6888	7113	10472	9178	8882	8078	9657	8317	9046	7271	8673	8585	9105	7411	7729	6715	7380	11138	8135	7914	8621	6167	7391	10208
EFTUD2-2	9098	11290	14524	13574	13175	11409	16022	10495	13103	11133	11568	11578	13553	10283	11392	10006	10664	13957	9776	14187	15793	13759	15159	18195
EIF3C-1	11224	13758	17764	16787	16529	14370	16315	13645	15557	12247	14133	12522	15643	12072	14296	12661	13117	15155	13926	15440	15931	16257	15257	17015
EIF3D-1	9947	10388	17083	13567	13701	12749	13167	10980	12637	9491	10202	11836	13593	10683	12316	9593	10619	12731	10213	11744	10612	11876	8553	10913
EIF3G-1	8633	10156	13234	12101	11201	11254	14802	12246	12628	9881	12019	11441	11832	10765	11260	8224	10967	14357	9980	11601	14203	13002	12351	17033
EIF3I-1	8678	7812	12841	12021	11309	10004	14010	11527	13520	10443	13785	13068	11687	9426	11023	7825	9546	11372	11082	11418	12216	15934	14018	12862
ERCC6L-1	6901	9642	11548	10179	10419	9333	10886	9094	9403	8033	9941	8351	10479	10323	9788	6957	8940	9540	8309	10828	9810	9588	9196	9264
FLT3LG-1	11119	12015	17934	17125	15896	15082	16669	14768	15920	14278	16020	14624	14574	13320	13484	11725	13998	16354	13112	16259	20109	15645	14940	25354
FOXA2-1	3945	4518	6866	6095	5467	5023	7164	4515	5673	4162	4456	5142	5669	4557	5156	4213	4080	5356	5350	5606	5687	4389	5193	4259
GNL3-1	7823	8130	11120	10463	10069	9640	13122	10511	12174	10642	10827	11886	9444	8261	8973	6379	6818	9539	8972	9950	9452	10773	9362	9940
GOLGA8M-1	11070	12410	18425	15521	15446	13944	19566	15867	15903	12918	14781	15078	15167	12808	13657	11526	13056	18090	15036	14824	15487	16803	15043	19525
HNRNPK-1	9468	10850	14701	12316	11175	10855	14611	12188	13506	11090	12162	13539	11720	10296	11078	8067	9820	11654	10689	12547	11154	13725	11215	12783
HNRNPM-1	6743	7339	10959	9000	8494	8327	11159	7999	9971	6861	9046	8698	8793	7322	7188	6957	7805	9025	8102	9829	9655	10305	14827	9916
HSPA9-1	9961	10931	16167	13946	12210	11228	13235	9207	9929	7267	9240	8702	13459	13471	13305	10166	10610	14412	11969	16436	14007	13487	18651	12785
INTS9-1	6807	8343	11284	10952	9901	8879	12944	8645	11902	9787	9731	11316	10370	8252	9580	7312	8671	10014	9650	10697	10298	11382	10972	13079
INTS9-2	13838	15519	22452	20010	19246	17541	21677	17095	18618	15510	18831	16014	18233	16263	16147	14533	16305	20856	19953	20119	20906	29726	20699	17353
KARS-1	6595	7692	10199	9794	8733	8573	12411	8397	10148	7197	8619	9476	8891	8463	7889	6317	8046	11082	6983	9826	7907	7784	10221	9361
LIAS-1	6285	8199	10893	6197	6113	5024	4348	2936	2774	2531	1996	2635	11529	10123	11014	7843	8647	11268	6796	8245	8128	5700	5055	7159
LIAS-2	9012	12715	16203	13410	13927	12509	17987	13649	15699	12259	13652	14805	13912	12065	11848	9375	11749	15452	11376	14803	13314	11783	14719	17159
LSM3-1	9588	10936	14422	13209	12461	11559	15929	11145	13730	11397	15339	13425	11994	11973	11302	10388	11137	12845	11904	13177	12774	13634	12037	14838
LSM3-2	12395	13452	18747	16108	16018	13748	20004	15550	17089	13310	16444	14208	14210	12587	14511	11693	14345	14639	15029	17028	17352	22215	16323	22686
LSM5-1	6242	6675	9802	8010	7090	7596	9765	7769	7607	6745	6729	6052	7847	7770	6788	5294	6525	8470	7067	10394	9386	11799	11384	10684
LSM5-2	9771	11495	14891	12618	13067	11485	12177	7952	11346	7193	9518	7718	13535	10002	10914	9701	10800	12466	12005	13798	13890	10839	16325	9803
LSM6-1	6226	6071	9050	8027	8234	7206	10625	7159	7760	7957	6515	7876	7302	6823	7198	5810	4692	8453	5701	6282	7717	6323	5982	7737
MDM4-1	7183	9669	13520	9125	8417	7831	7130	4123	5784	4020	4206	4340	11730	11167	10971	8116	8222	10997	7522	8437	10715	8130	5425	7568
MRPS31-1	7696	7932	12279	10416	10363	9529	11877	7674	10145	7484	9097	9687	9774	8264	9688	7211	8122	10429	9196	11302	9439	10507	10580	8558
MRPS31-2	11494	12530	16308	14452	14126	13894	16185	11890	15047	11321	17871	13641	13933	13940	13883	10289	12805	15945	11629	15166	16079	13628	17163	21983
MS4A13-1	11027	11699	15214	15650	13560	12893	19604	13814	14432	14115	14343	14974	13517	11164	12245	9332	11881	15857	11999	14781	14681	10671	16616	16268
NACA-1	11482	13684	17131	16560	16034	15235	17888	13273	16262	12216	14764	13566	15281	13924	13902	10225	13497	17717	14608	17610	15647	14127	15792	13189
NAPG-1	5461	6820	9151	8523	7823	7212	10662	8016	10414	7330	7341	8591	8307	6751	6467	6555	7068	8708	7902	8919	8758	10728	10300	7792
NEDD8-1	5674	6442	8657	7167	8800	7355	9581	8231	8085	6966	10313	8717	8288	6844	6933	6507	6903	8738	7007	7849	10527	6457	7416	9838
NHP2L1-1	4465	4622	6200	6229	5529	5444	7314	6046	5622	5091	6335	5240	5702	4916	5231	4033	4618	5568	5237	6045	6635	5223	5555	7600
NUDT21-1	10265	11179	15603	12788	12094	10795	16265	11206	13803	9908	11585	11785	12840	10441	11580	8414	11619	13892	12562	11927	12619	13133	10560	11416
NUF2-1	9491	9320	13793	16679	14277	14814	18060	13692	15420	13699	14226	14947	11917	11283	12949	10661	12397	14625	12616	17996	16207	17001	19349	16467
NUP205-1	9937	11373	13808	12708	13778	11990	17009	11719	12348	10822	14071	11984	12447	10957	11437	9881	11572	13448	12275	14178	13163	13860	13982	17060
NUP205-2	11638	12356	18809	16237	16361	14711	19673	15413	17002	13016	13995	15077	16259	11806	14816	9418	12365	15749	15080	14989	16863	18699	13409	20068
PELP1-1	11803	12690	17828	16947	15662	14525	17667	13964	16962	11883	16733	17175	14605	13756	13465	10683	13961	18028	15539	16364	18212	17973	14506	18261
PFDN2-1	9850	11877	16970	14792	14662	14652	15902	12410	15821	10861	15146	15748	13319	12576	12425	9831	12560	15283	11619	16468	14756	16262	15493	17853
PGLYRP4-1	11736	11999	17186	16908	13560	13868	16808	13578	16288	12802	13640	15922	15262	13588	14521	11492	13110	17363	15615	16874	14434	15796	16329	12809
PHB-1	16512	18641	26834	23780	21284	19278	27956	20055	22080	18039	19449	17229	20673	19996	18758	15597	19156	24333	21742	22513	22100	22137	17348	23585
PHB2-1	6226	6980	10678	9023	8709	7881	7408	8106	8721	4531	6765	6968	9097	6927	8013	6835	7283	9262	7614	9013	8909	9450	6801	4729
POLA1-1	7746	8842	10790	10485	9968	9217	11012	8089	11288	7830	9684	10294	8980	7774	8058	7249	7434	11574	8351	9832	9146	12580	9468	7269
