"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALG10B-1",14137.0630347388,0.00697839727720434,0.00534136441290885,1.70199261597909,0.19202759245366,0.503765075564373
"BRIX1-1",11606.5971608946,0.00627130455972219,0.00594571150108474,1.10065012908885,0.294123472420806,0.596483485554228
"CCNB3-1",20621.4286634624,0.00662488722466301,0.00426650278456303,2.35485513653626,0.124893486738453,0.418633638093657
"CCNB3-2",16875.2801902412,-0.00705040193558765,0.00473003347552402,2.15507254102639,0.142099732065298,0.438209126240817
"CCT3-1",18655.4589397629,0.0097070728448188,0.00427066874305412,5.03264048977655,0.0248739480347424,0.181369513953693
"CCT4-1",11118.3843429426,-0.00299422712601606,0.00427977163239568,0.494434402778978,0.481955859040393,0.716919364362914
"CCT8-1",17926.5873863557,0.00418734436186211,0.00434057184727907,0.93849887315875,0.332664192289288,0.619651985383296
"CDC5L-1",10604.7895281536,-1.84965577105657e-06,0.00570753023953647,9.93269935634089e-07,0.999204805010728,0.999204805010728
"CHMP2A-1",11577.2557844925,0.00212499172397561,0.00495526544729206,0.186197550250284,0.666100387930821,0.844671981290999
"CLTC-1",18591.6076428378,0.0111899760232734,0.00497298764079764,5.05722105548242,0.0245235306250242,0.181369513953693
"COPA-1",9500.25704269493,0.00749091917164973,0.00525980906386155,2.05489960777052,0.15171725426815,0.450029052678852
"COPS2-1",10309.9695586566,-0.00455289570131645,0.00513118868920096,0.778316570998754,0.377656487153426,0.653046227302055
"COPS4-1",15769.9889292455,0.0111544565660805,0.00568172454213332,3.78814708927354,0.0516167583426194,0.26985603484387
"COPZ1-1",10656.9335765649,0.00412695707215701,0.00607508130462683,0.464192166008871,0.495671248358964,0.724114754971779
"CYP1A2-1",20194.095853965,0.00395428622577032,0.00372225983414457,1.13676381857351,0.286337188908869,0.593162387607165
"CYP1A2-2",17912.6603370234,0.000236745389150326,0.0044430190706548,0.00279537395994112,0.95783445472604,0.983936658772542
"DDX18-1",11479.7071840532,0.00819068768292018,0.00520507815100827,2.50204287470038,0.113698726256793,0.404966777982363
"DYNC1I2-1",18242.816582019,0.0108434285999639,0.00396545105075842,7.53372396737373,0.00605546102389878,0.078658022651917
"DYNC1I2-2",13796.8360464296,0.00389635870748842,0.00502100498405534,0.5961041634514,0.440068336730641,0.685402601110092
"EFTUD2-1",12947.1174225702,-0.000615137820016545,0.004158765530927,0.0217854573726584,0.882659264201587,0.950640016162297
"EFTUD2-2",15785.6844913688,0.0110942513713355,0.00493494937447188,5.02710861761969,0.024953523731884,0.181369513953693
"EIF3C-1",20830.7859554688,0.00805751570731288,0.00416766305152565,3.79578942737743,0.0513816386636105,0.26985603484387
"EIF3D-1",13459.6307609591,0.00420870647576207,0.00534633568836412,0.623078498085249,0.429905592128119,0.68023999887175
"EIF3G-1",15873.4157731115,0.00293200638917472,0.00431382661605399,0.45057814519572,0.502060530238212,0.728639795508055
"EIF3I-1",12245.7228949003,0.0138410498738345,0.00532208346541218,6.67527553668182,0.00977593985690632,0.107897410272522
