"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALG10B-1",14286.8555774766,-0.00698468981468367,0.00759202631383639,0.804751987793367,0.369676390181815,0.637934360565497
"BRIX1-1",12682.0218635381,0.00818556897514954,0.00520991011258295,2.45317649056346,0.117287305342035,0.344917272946642
"CCNB3-1",22836.0851680137,0.0133834089841408,0.004936144690438,7.4033490141596,0.00651025636219162,0.0908383741986067
"CCNB3-2",18741.5646070057,0.00570810026480504,0.00422646418038331,1.8525657551495,0.173485276495291,0.435543043012211
"CCT3-1",20725.9439593748,0.0136892465311538,0.0050398184768489,7.28216018669625,0.00696427373636259,0.092900279985741
"CCT4-1",12441.8754629985,-0.00594658603889721,0.00523444520966292,1.30699089924457,0.252940192956114,0.522236795618397
"CCT8-1",18993.3155086864,0.0117363692472298,0.00524492260146323,5.12223030126435,0.0236212389242124,0.165137270950628
"CDC5L-1",11845.1576308165,0.00729257098435445,0.00690513338028685,1.08870405358897,0.296758527136268,0.562080769618271
"CHMP2A-1",13871.7466902344,0.0104942307618004,0.00898697696413546,1.35465659595658,0.244465691206607,0.510453715655308
"CLTC-1",20314.584206372,-0.00061574346279235,0.00527029705932156,0.0136591588248791,0.906961166649245,0.955033313291431
"COPA-1",9846.1914119693,-0.00825112171769962,0.00790178743637486,1.07324147692395,0.300214419137036,0.564516947057393
"COPS2-1",10858.8858745373,-0.00761058724767666,0.00576038580624406,1.70128035620547,0.192120619541955,0.461260668263464
"COPS4-1",15787.5584487299,0.000958850754608507,0.00583240079485538,0.0264149444913926,0.870891064794711,0.947173493827825
"COPZ1-1",10823.6021748103,0.00209051499752143,0.00617590375184693,0.112384507465208,0.737445569304516,0.87866674477306
"CYP1A2-1",21455.7171313068,-0.00493395836487938,0.00523864345999735,0.874079594127721,0.349828374903559,0.62287150018151
"CYP1A2-2",19461.1826186397,0.00756341684513508,0.00487849435468985,2.40767132672312,0.1207418572441,0.349330810279046
"DDX18-1",12181.8515243549,0.00176463752373272,0.00816012718117446,0.0474861813246719,0.827496708937869,0.927045185201071
"DYNC1I2-1",18346.0906283506,-0.00406016326387648,0.00530048670121942,0.580262971767468,0.446209262857124,0.703772338991409
"DYNC1I2-2",14837.440875249,0.00666165674509958,0.00722894213195331,0.864099072871113,0.352594131815887,0.624196344244362
"EFTUD2-1",14351.5760049186,0.0118346174652935,0.00643963137771736,3.45936633100428,0.0628944136397358,0.265224555631716
"EFTUD2-2",15684.2061594137,0.00439888759736849,0.00526468984522919,0.687620694663309,0.406974851580908,0.672524061577323
"EIF3C-1",22990.5626437258,0.0111114352228107,0.00610720296580724,3.35965321276575,0.0668121366467932,0.266746422984323
"EIF3D-1",14466.390807547,0.000623883146866411,0.00513367893545049,0.0146876641110794,0.903538427040807,0.955033313291431
"EIF3G-1",17407.0741927417,0.007364791270644,0.00526270585557241,1.99520595809128,0.157797613454817,0.410090309385483
"EIF3I-1",11885.6727058596,-0.00541603667814324,0.00558968608810768,0.936823241851471,0.333096163858124,0.603223707588982
"ERCC6L-1",12113.086356561,-0.00344829676320797,0.00599501656234956,0.325413392840289,0.568372412235633,0.804257070596945
"FLT3LG-1",24933.6198899059,0.000727423425820546,0.00506248332029642,0.0203790612692103,0.886483480698306,0.952543547769574
"FOXA2-1",4951.91353929719,-0.0220762340191935,0.00997702739919847,4.60900299000815,0.031804519226618,0.186898441506098
"GNL3-1",11208.5316834451,0.00625852551095422,0.00647490866376296,0.935936920261696,0.333324956989885,0.603223707588982
"GOLGA8M-1",18591.3402663488,0.000757366731453813,0.00519442934344428,0.021275975429262,0.884029647309405,0.952543547769574
"HNRNPK-1",15251.9761218666,0.0103350804810295,0.007734224777812,1.81360820791437,0.178075996887782,0.442222058937992
"HNRNPM-1",10449.1759375357,0.00367895344471493,0.00787921849145174,0.216940159818449,0.641381319065888,0.828902526440256
"HSPA9-1",16279.5386442501,0.00866445515827145,0.00492504178757534,3.10365367355439,0.0781167937864199,0.290908878393314
"INTS9-1",14473.6944762424,0.0213146939403798,0.00502693988722911,18.2380196445093,1.94948266500229e-05,0.00217854687814006
"INTS9-2",19751.0021892561,0.00402952899454763,0.00639582239893656,0.392893459680778,0.530782384344664,0.769138913575079
"KARS-1",9424.58570142421,-0.0102138347075922,0.00734084184055674,1.94027974165661,0.163638163412707,0.421592271155505
"LIAS-1",14159.1508274509,-0.0160760896191651,0.0056433737536407,7.88705106776337,0.00497899803949789,0.079605846343724
"LIAS-2",17577.6507828217,0.00861670422799494,0.004635569926518,3.52111913072085,0.0605915209099935,0.262179266378874
"LSM3-1",15817.0731264165,-0.00900484260795677,0.00499769055251725,3.15912694412651,0.0755035523130158,0.28723479050143
"LSM3-2",17194.053713721,0.0201295335969446,0.00674042587573179,8.94356432593784,0.00278448854059588,0.0607154330559199
"LSM5-1",8485.53414990568,-0.0181194211693284,0.00845486941121165,4.6074739692057,0.0318328912123013,0.186898441506098
"LSM5-2",13370.6377164677,0.0281752983297505,0.00612806221143799,21.6567220087294,3.26065343327764e-06,0.000507575609996078
"LSM6-1",9428.59684872405,0.0101491211141095,0.00865757657003524,1.4163427995243,0.234006299489468,0.502888537845154
"MDM4-1",11452.3041857261,-0.00287300932092895,0.00670275306811866,0.188937231273968,0.663802626427035,0.837009235579364
"MRPS31-1",11196.7711725056,0.00188285762477451,0.0077103058671541,0.0613695424966068,0.804344271871885,0.910232631713248
"MRPS31-2",14345.99436011,0.00845564864344041,0.00543554869801389,2.41487455690947,0.120187597346992,0.349330810279046
"MS4A13-1",17506.094232079,-0.0149972868344091,0.00645511415596711,5.26586902567513,0.0217475622277674,0.158067647411578
"NACA-1",19859.1070598585,0.0120457615747925,0.00517728230589526,5.49980564186052,0.0190185873879757,0.153176730854507
"NAPG-1",9836.21258870919,0.000643868465803796,0.00863855686118898,0.00563277608819135,0.940173479584218,0.97318726320923
"NEDD8-1",12790.3553867181,0.029594943887768,0.00500288619799109,35.9871912481884,1.98618881844953e-09,1.77565280369388e-06
"NHP2L1-1",7217.66242251837,0.0143644372726422,0.00620768052561996,5.4376353164769,0.0197073323160722,0.153490907730282
"NUDT21-1",15405.0788777751,0.00878504752748359,0.00512396940248321,2.95332077363551,0.0857012909282044,0.29581835555913
"NUF2-1",26308.5702601167,0.0204256311991537,0.00624060446588309,10.5059141740292,0.00118993074469486,0.040563365486455
"NUP205-1",15805.602961129,0.00297782442997691,0.00529558426203821,0.317964768050302,0.572833319512933,0.805047890025185
"NUP205-2",13346.2559152143,-0.00202733421643945,0.00552977344841805,0.134638833272703,0.713670004870453,0.873610379890663
"PELP1-1",22217.7727929136,0.00197583776364657,0.00523381792402794,0.141838713049509,0.70645988210922,0.869938201936146
"PFDN2-1",19662.1512982924,0.0121769378826976,0.00504853018233806,5.93653478724386,0.0148301481061019,0.131268835711437
"PGLYRP4-1",12620.8284889603,-0.0159700826462896,0.00701459072246738,5.08696164059867,0.0241063910014876,0.167062895777751
"PHB-1",26001.9179872561,0.023065357881289,0.00395679963577902,34.2303671356071,4.89589793891254e-09,2.18846637869391e-06
"PHB2-1",11162.0777110873,0.00956908941246021,0.00727090760479488,1.71236997316907,0.190678167114502,0.461260668263464
"POLA1-1",9558.90196789785,-0.00107697566266755,0.00633873749684293,0.0291725479065121,0.864381241064561,0.945846792548001
"POLR1C-1",14070.5706053862,-2.79635855923708e-05,0.00767714280973345,1.33162643294327e-05,0.997088409448906,0.999324033685338
"POLR2A-1",4572.9898794543,-0.0280968071618002,0.0104652944090623,7.3336373914004,0.00676759625294297,0.0916701674262275
"PRPF18-1",10094.9074925825,-0.00624679659972465,0.00698254303613546,0.791191287842793,0.373740149157965,0.637934360565497
"PRPF3-1",11874.6194309625,0.00155653745465387,0.00803174760083453,0.037539118857751,0.84637152535206,0.938913214915049
"PRPF38A-1",13772.5712501605,0.00104088843056134,0.00581163905337633,0.032390764255041,0.857172710350575,0.940804390512486
"PRPF38A-2",17615.0619660088,0.00263160089744577,0.00567108309406177,0.217212741244055,0.64117192592996,0.828902526440256
"PSMA1-1",9725.02545537236,0.00782677368189637,0.00641640851013952,1.53134625149315,0.215910508801528,0.487434330476177
"PSMA2-1",8680.73902904029,-0.00554301288130293,0.00639189794292094,0.764775598840572,0.381838130910532,0.647748176535135
"PSMA3-1",16008.6368836369,0.0136395045069073,0.0087620666240202,2.49097837346036,0.114500526287241,0.340077975085694
"PSMA6-1",14696.8083472823,-0.00691173408026371,0.00562537536333223,1.493664123098,0.221648819622394,0.492678071513798
"PSMB3-1",16741.4655315611,-0.00755519712928539,0.00681250865407734,1.18218428527354,0.276911766727759,0.544085976823333
"PSMC2-1",12492.8601100982,0.0231346643979843,0.00884942452080103,6.98692690935317,0.00821072077101161,0.0950574948998539
"PTGDR2-1",16132.0874277509,0.0059397274830298,0.0064231444981104,0.857492776141783,0.354441272767737,0.624991120028318
"RILPL2-1",6529.77099651386,-0.00547155599779855,0.00819461138916786,0.44352851116389,0.505424291620902,0.748094895213719
"RPA2-1",11808.0843261741,0.00401240585845855,0.00717560276132114,0.314332107886315,0.575033917874447,0.805768530689272
"RPL10-1",11145.1579939338,0.00900304523169792,0.00531483546662806,2.91716859116551,0.0876415250905948,0.299051616148824
"RPL11-1",18500.5264886921,-0.00530814821897468,0.00527961754847339,1.00220440368088,0.316777693975685,0.587550328660296
"RPL12-1",9470.29530595898,-0.0145226558001987,0.00655892955203704,4.86550344485553,0.0273988033303062,0.178872049566106
"RPL13A-1",16623.1771658143,0.00506648936718924,0.00491148546859868,1.07166109728803,0.300570544518254,0.564516947057393
"RPL13A-2",9260.46848170312,0.00254853541363504,0.00703324908212956,0.133503027436433,0.714827275109021,0.873610379890663
"RPL13AP6-1",8147.53444948405,-0.00334836888449156,0.0105266962297527,0.0997259787609721,0.752158718333444,0.87866674477306
"RPL13AP6-2",17657.6813859348,0.000872798562005713,0.00746223371019434,0.0137254793401667,0.90673659934582,0.955033313291431
"RPL13AP6-3",17597.2419389009,0.00984128944532286,0.00571706325940072,2.96652427028511,0.0850043091304165,0.29557764381817
"RPL17-1",14543.889849077,-5.16674226217637e-06,0.00715863900102494,5.3262886012817e-07,0.999417692518089,0.999417692518089
"RPL18-1",4302.05822972439,0.00341545276743221,0.0112938604623748,0.0918862812170005,0.761792697557639,0.883323828296406
"RPL19-1",12465.8178716088,0.00934982081836283,0.00898782928129182,1.09556952570986,0.295240468297919,0.562080769618271
"RPL23-1",10412.0392341313,-0.00258053530791294,0.00587432383533198,0.192241191694251,0.661057802631242,0.835906188900043
"RPL23A-1",10731.5287957035,0.0143023682848039,0.00590635145422564,5.88439347416326,0.0152756584327008,0.133370740495895
"RPL24-1",20530.8844017708,0.00751087597287815,0.00514345649507843,2.14211585674485,0.14330412278503,0.392987379662015
"RPL26-1",21727.4443482561,0.00973760118843395,0.00475030343662013,4.25080334056722,0.0392317681677187,0.20876905203536
"RPL3-1",9969.39960461514,-0.0149502925594827,0.00927125365718567,2.59464981580689,0.107225136513972,0.336884555442434
"RPL3-2",10124.0500455488,0.0031123605970359,0.00843960290994769,0.139265072206115,0.709012725707269,0.870683209865794
"RPL30-1",11932.5017625564,-0.00648959777926562,0.00773074659891995,0.707478688312307,0.400282099066907,0.667752464681973
"RPL31-1",18163.0157224065,0.00177038768864199,0.0055713128528004,0.100321808048221,0.7514437930807,0.87866674477306
"RPL34-1",18812.8446656486,0.014805953005305,0.00599036011895599,6.13021785098709,0.0132890495459521,0.125056950464013
"RPL35A-1",11365.6320034125,0.0117199130294048,0.00557636737592344,4.44136196558719,0.0350782531770086,0.198480748988897
"RPL35A-2",7513.20705096346,-0.0004495424049161,0.00782858911714444,0.00326430238706621,0.954438393790012,0.981896345279944
"RPL37-1",20324.1610763068,0.00272691888220395,0.00380488841822335,0.514453362094201,0.47321735855031,0.73186279427038
