"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALG10B-1",12392.2599271642,0.0099127451330675,0.00308028362117071,10.4324243289255,0.00123822103738998,0.0170303016527175
"BRIX1-1",18165.840630623,0.0132803039156379,0.0034278492343467,14.7571348469124,0.000122283919194387,0.00242937386132849
"CCNB3-1",18502.0668266576,-0.00266535081164541,0.00311677981607873,0.73504542351418,0.391252642950276,0.64453380236892
"CCNB3-2",11805.6320244023,-0.00164530359593287,0.00460042455041079,0.127968124511824,0.720548129591749,0.873685150244527
"CCT3-1",12296.9510256262,-0.0450760856368753,0.00450038100588406,96.9498925915625,7.11041850625387e-23,5.77883104053723e-21
"CCT4-1",9524.28840907166,-0.00694195964496494,0.00451561015467557,2.39518987387999,0.121708971566619,0.354422868340577
"CCT8-1",17782.0724134559,0.00884063177377197,0.00428247978475328,4.26935076039854,0.0388057546226084,0.185520559532684
"CDC5L-1",7788.33501278929,-0.0062186962415224,0.00432092466855413,2.02846590925813,0.154376366220887,0.41602727731686
"CHMP2A-1",12574.5025563493,0.0154792631464272,0.00497636656595256,9.61048348407658,0.00193469699281165,0.0243608325573749
"CLTC-1",15190.8692709883,0.0103745620678476,0.0039375394942577,6.87393101067224,0.0087462056321078,0.0657067885302889
"COPA-1",9976.06084019379,0.000832603450259137,0.0049622284809347,0.0278803982867828,0.867390314407771,0.940003052432428
"COPS2-1",10222.5846672097,0.00381189817992174,0.00575586894831273,0.436937835646233,0.508604146685142,0.740540891101819
"COPS4-1",16163.9624587179,-0.00143852090851155,0.00352624704812088,0.166838544617747,0.682936914109954,0.856359487212441
"COPZ1-1",8661.01151980777,-0.00860874469850778,0.00473538189529236,3.25611462354146,0.0711575433436493,0.259051498409059
"CYP1A2-1",22277.2828132988,0.00654600773085143,0.00322253778197097,4.14425674009357,0.0417759916645583,0.193511588332203
"CYP1A2-2",14873.5869628623,-0.0034523991838005,0.00349395325412385,0.985301830258607,0.320893365609484,0.587032671843338
"DDX18-1",9028.72121143704,-0.0011414003579715,0.00427362767756421,0.07053230479832,0.79056331615241,0.898047782262077
"DYNC1I2-1",19802.2259580458,0.0121604344834946,0.00336292805104956,13.1253659578742,0.000291324447503161,0.00482303807533011
"DYNC1I2-2",16362.595024079,0.000376187532012969,0.00369849217009619,0.0103230917220856,0.919072102367162,0.97236740771153
"EFTUD2-1",8443.42127846458,-0.000738819130221902,0.00374463794766576,0.039049406412687,0.843350815426426,0.926235416451136
"EFTUD2-2",12110.0259542936,-0.00287377472079864,0.00383539298444879,0.558560662625609,0.454840755429629,0.696280197524125
"EIF3C-1",14451.6454561018,-0.0113888820303097,0.00382861578930416,8.77143878097186,0.00305983985878908,0.0329577931778005
"EIF3D-1",12016.2668773554,-0.0171658006187108,0.00426795196928955,16.1076890475322,5.9840584484805e-05,0.00133743706323539
"EIF3G-1",11522.684597418,0.00415736092821704,0.00383962483126255,1.15203735509198,0.283123065670775,0.558686122764187
"EIF3I-1",11459.7534499424,0.0202948054508129,0.0046092410071052,19.3684620355177,1.07772252686724e-05,0.000283377629123326
"ERCC6L-1",9404.61116989622,-0.00735496553930363,0.00487745120401802,2.28179087351668,0.130900645694944,0.371508499210414
"FLT3LG-1",14996.4884845738,0.00391472716789444,0.00412727814413849,0.902882092837416,0.342010089877607,0.607866839663183
"FOXA2-1",5168.10038099935,-0.00967126201374045,0.00536242915084696,3.18185694869746,0.0744600649539519,0.266269192275332
"GNL3-1",10451.5315199509,0.0182235986301901,0.00371390014998539,24.0180344073331,9.54375805764742e-07,2.84403990117893e-05
"GOLGA8M-1",14897.4059812513,0.0031667338543944,0.00354452344040014,0.783488420112263,0.376076375738994,0.6387468295157
"HNRNPK-1",12105.0566983249,0.00760483379346017,0.0037278805546182,4.19080501426109,0.0406437930892813,0.190238487025222
"HNRNPM-1",8604.80020984296,7.879730929547e-05,0.00415355972028042,0.000378749927534727,0.98447295089252,0.995609522735196
"HSPA9-1",10872.1653661414,-0.0356060717147089,0.00393106188563101,81.0297921216011,2.2234036269175e-19,1.65643570205353e-17
"INTS9-1",9916.37689752817,0.0127993196659566,0.00452973164061911,7.97203951396313,0.00475053844185625,0.0436219624166098
"INTS9-2",17845.6649401886,-0.00412765960481061,0.00327168468078598,1.58490812901766,0.208055131266734,0.484378352480364
"KARS-1",8865.77109544678,0.00259263068470463,0.00449594899243484,0.324850548337309,0.568707121086805,0.781496814253276
"LIAS-1",4980.08321347242,-0.108496209450597,0.0134482873943118,65.004871002893,7.47131586532378e-16,5.13796644892266e-14
"LIAS-2",13650.1873415917,0.00850898925425972,0.00422278154636615,4.01178761154353,0.0451832207001609,0.198842534377165
"LSM3-1",12638.8936939139,0.0115025052827537,0.00381500792530985,9.25131555438969,0.00235326311869937,0.0273223016638602
"LSM3-2",15430.2068844355,0.000794311179680911,0.00361950896311715,0.0475556323775947,0.82737259300485,0.915690016010708
"LSM5-1",7437.51486469838,-0.0101779173600487,0.0054344597847576,3.43292599198875,0.0639087801553172,0.242163340097164
"LSM5-2",10672.3846828909,-0.0375583091351337,0.00499112227864381,55.8447525540894,7.84257902692437e-14,4.38204103129399e-12
"LSM6-1",7650.08194845763,0.00352972943751613,0.00571948044236167,0.378884592861539,0.538200788645907,0.763504468839478
"MDM4-1",7039.67482617617,-0.077659289784157,0.00704127391197002,121.130819334951,3.57746452592177e-28,1.06608442872469e-25
"MRPS31-1",9394.64237096231,-0.00766510295473337,0.00439098870295247,3.04945447718399,0.0807642668356933,0.282043963090273
