"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCT3-1",12296.9510256262,-0.0450760856368753,0.00450038100588406,96.9498925915625,7.11041850625387e-23,5.77883104053723e-21
"EIF3I-1",11459.7534499424,0.0202948054508129,0.0046092410071052,19.3684620355177,1.07772252686724e-05,0.000283377629123326
"GNL3-1",10451.5315199509,0.0182235986301901,0.00371390014998539,24.0180344073331,9.54375805764742e-07,2.84403990117893e-05
"HSPA9-1",10872.1653661414,-0.0356060717147089,0.00393106188563101,81.0297921216011,2.2234036269175e-19,1.65643570205353e-17
"LIAS-1",4980.08321347242,-0.108496209450597,0.0134482873943118,65.004871002893,7.47131586532378e-16,5.13796644892266e-14
"LSM5-2",10672.3846828909,-0.0375583091351337,0.00499112227864381,55.8447525540894,7.84257902692437e-14,4.38204103129399e-12
"MDM4-1",7039.67482617617,-0.077659289784157,0.00704127391197002,121.130819334951,3.57746452592177e-28,1.06608442872469e-25
"PSMA1-1",4681.73798131327,-0.0384605120651283,0.00763536605526416,25.8195632878728,3.74869566538505e-07,1.24123478698305e-05
"PSMA3-1",11872.2813904672,-0.0273073830715112,0.00408171632449222,44.4521871769739,2.60645618619543e-11,1.2945399058104e-09
"PSMC2-1",7796.18182443851,-0.029406482404142,0.00374829658347631,61.2860227932156,4.93571867876256e-15,3.15180892772409e-13
"RPA2-1",9412.06172643887,-0.0245312315457091,0.00514318308248516,23.1085589059017,1.53107650437586e-06,4.31297805475287e-05
"RPL11-1",15530.5796052968,-0.0199793669126904,0.00374582748731101,28.3899837201331,9.91771111195016e-08,3.69434738920143e-06
"RPL17-1",10334.4343537498,-0.0599138175198758,0.00575215770820744,107.997186690514,2.69159967216897e-25,4.01048351153176e-23
"RPL34-1",7188.01805769449,-0.105397145530658,0.00676727346502393,236.476402893803,2.30690768788264e-53,2.06237547296708e-50
"RPL35A-1",7049.57452692505,-0.0391304185471721,0.00661422177942192,35.214500741677,2.95316418537047e-09,1.200058537146e-07
"RPL7-1",14292.8842678631,-0.0254443402594631,0.00493281900495323,26.8044829627242,2.25114512229314e-07,8.05009495732026e-06
"RPS15A-1",7906.8109741399,-0.0278673619584733,0.00542004728442703,26.7249130639428,2.34577499839132e-07,8.06585710985323e-06
"RPS17-1",9547.01596963071,-0.0325380758535445,0.00551732305798322,35.607094326863,2.41406770619675e-09,1.02770310920948e-07
"RPS18-1",10898.2493470111,-0.0546538372156461,0.00539097061565613,102.905013259073,3.51608747544481e-24,3.92922775380957e-22
"RPS20-1",5203.47903285232,-0.0661463042794141,0.00609106351127694,114.961386419636,8.02448697151683e-27,1.43477827050721e-24
"RPS29-1",7354.33407906512,-0.0283403837416798,0.00694717603257103,16.7821422810037,4.19260054054392e-05,0.000986364442959543
"RPS3A-1",7082.69880766835,-0.0420893922796023,0.00642682598208761,43.4998254794345,4.23997205123931e-11,1.99501842831997e-09
"RPS4X-1",8569.80740509594,-0.0361384567321926,0.00595593727984346,37.3274864004474,9.98671121930679e-10,4.46405991503013e-08
"RPS8-1",9619.67358304186,-0.0456380195571772,0.00590397598418329,59.2896955511893,1.36087283492104e-14,8.11080209612938e-13
"RPSA-1",9172.68186725699,-0.0466626010596516,0.00670723133548476,49.573528164732,1.91074564321677e-12,1.00482741472694e-10
"SEM1-1",13156.9615999756,-0.0443566145925666,0.00443501067963403,98.6949943099818,2.94545695577967e-23,2.63323851846703e-21
"SF3A2-1",9493.10646583059,-0.0228712597394519,0.00422189299464636,29.1698463391381,6.63030871206812e-08,2.5771721689517e-06
"SMC2-1",9064.69088562132,-0.0688227493954409,0.00475729319802836,202.514701861695,5.90315740404487e-46,2.63871135960806e-43
"SNRNP27-1",12937.0194703549,0.0151565489772421,0.00340275417200636,19.5998075023159,9.54788177548987e-06,0.000258660797190544
"SNRPE-1",7713.40905508934,-0.0653388624599087,0.00630543015853672,106.201336522902,6.6611709362196e-25,8.50726688140046e-23
"WDR12-1",10533.5089855572,-0.0383055483421157,0.00349743827254165,118.272458052717,1.5113424524014e-27,3.37785038111713e-25
"XPO1-1",6249.90321088249,-0.0810585627394878,0.00814733555654932,98.8320341802412,2.74852290510964e-23,2.63323851846703e-21
"OR4F6-1",19241.1842606311,0.0137603599330501,0.00319974938809976,18.2589563558845,1.92817192717786e-05,0.000486494831534536
"OR4F6-2",17249.2286690311,0.0160612301756361,0.00333734887942237,23.0926522702565,1.54379527686904e-06,4.31297805475287e-05
"CHEK1-WEE1-3",4519.0251591269,0.0289734281270901,0.00668723508462472,18.2287050193879,1.95903959007196e-05,0.000486494831534536
"PARP1-PARP2-4",14475.6088536581,0.0168584556172777,0.00342085015362614,24.5150824707494,7.37304234230322e-07,2.27293098414451e-05
"PARP2-PARP1-2",13122.6520453708,-0.0157162202924853,0.00308333550614728,25.6717282653198,4.04712846260312e-07,1.29219030198828e-05
"MARCH5-1-NT-3",6377.97957522873,-0.0201269224205646,0.0048806680454281,16.9443095586549,3.84925270927773e-05,0.000930062681647106
