"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALG10B-1",11672.1171619717,-0.000688671558825149,0.0060056782850611,0.0131133399373482,0.908830751382461,0.955990950295394
"BRIX1-1",17499.592750768,0.00361349541060907,0.00453987734732902,0.634372876168953,0.425755836430749,0.643349400942657
"CCNB3-1",18744.736274031,-0.00558154548553262,0.00555446252189296,0.985579737332642,0.320825130380029,0.55477304943858
"CCNB3-2",12302.4212908468,-0.00782654008104053,0.00544032760676704,2.03569766286014,0.15364367197159,0.391331745705418
"CCT3-1",14847.5785339329,-0.000137879530899168,0.0076964982023159,0.000322135771597232,0.985680224085062,0.995576070431999
"CCT4-1",9289.49314905973,-0.0048243967342599,0.00839090285710429,0.325094988873332,0.568561711554513,0.768562088830946
"CCT8-1",18163.91344338,0.000809189426805159,0.00731064399625236,0.0119978387489255,0.91277844327396,0.958900033239624
"CDC5L-1",7794.97461324199,-0.0118721088451694,0.00915041062828024,1.65922199655424,0.197708401059417,0.440776335528975
"CHMP2A-1",12538.6724953504,0.0201807743651127,0.0070028969761537,8.55302464245528,0.0034494860528907,0.0428311184900596
"CLTC-1",13450.1758872399,-0.00246178681289519,0.0045843089279277,0.290697446395598,0.58977393655507,0.783256790652162
"COPA-1",10101.0672768436,0.00850104970497683,0.00824609500859398,1.07927568616589,0.298859646445933,0.532232119367856
"COPS2-1",9400.80380508867,-0.00257640721187047,0.00691564199444167,0.137499596809761,0.71077951392258,0.857539656473396
"COPS4-1",15653.5703970735,-7.77793778326854e-05,0.00692181434397805,0.000123824921587357,0.991121591369664,0.995576070431999
"COPZ1-1",8771.58439711273,0.00394400296741565,0.00942359912133772,0.173885291928258,0.67668165982559,0.845066888514551
"CYP1A2-1",23094.9114304757,0.0082327379476687,0.00509635585567532,2.55947655669041,0.109634877984174,0.322413095124513
"CYP1A2-2",14602.5744194617,0.00453608141703291,0.00547184032877645,0.680573996218186,0.409389140662538,0.633178702806633
"DDX18-1",9102.37865912336,0.017606982936276,0.00673157522817631,6.9309127586765,0.00847184418497564,0.0796870803912949
"DYNC1I2-1",19623.8983277173,0.0147181792108494,0.00779137910409696,3.73351120263143,0.0533311740476796,0.22301268277548
"DYNC1I2-2",15462.6731861866,-0.00789254602014754,0.00501638835948814,2.40643564957867,0.120837221846326,0.343912982369979
"EFTUD2-1",8117.57262755056,-0.0155405423417745,0.00843698218687183,3.31957573219509,0.0684594939847252,0.252065126135034
"EFTUD2-2",12891.7382016156,0.014759219472809,0.00699851969229448,4.53007300499803,0.0333041969454855,0.16893040768105
"EIF3C-1",14659.9589721775,0.00155206090933041,0.00507696175476901,0.0934616072185293,0.759821718691836,0.886025719014353
"EIF3D-1",11114.6833549475,-0.0237873118192237,0.00620906166335739,14.5607789163292,0.000135710058529023,0.00577737106309269
"EIF3G-1",11984.4970327668,0.00792514095896762,0.00702915522866234,1.29825888062095,0.254531504145579,0.490891454362784
"EIF3I-1",11398.1906705817,0.0178505761913183,0.00583181007429355,9.66856352538335,0.00187447818058192,0.0289924165572291
"ERCC6L-1",9382.55609767309,-0.0138010608111648,0.00582636351259268,5.5975909238073,0.017985191942024,0.119990758180369
"FLT3LG-1",15562.4637043842,0.014962386084403,0.00823122238810286,3.31825906086388,0.0685143463655628,0.252065126135034
"FOXA2-1",4947.153827436,-0.0148323954841905,0.00816897172624505,3.15281813089342,0.075795954588604,0.272134873101253
"GNL3-1",8898.8274659743,0.00544724115138294,0.0056078889556521,0.950391548276343,0.32961965209764,0.564521013362626
"GOLGA8M-1",14951.8037295669,0.00579943667280373,0.00547317214812832,1.1313450888247,0.2874886108065,0.520955419491267
"HNRNPK-1",11134.9486355659,0.003806322192031,0.00516527740483333,0.549738462061811,0.458424578076956,0.677407558348427
"HNRNPM-1",9039.94301535512,0.0238981230506859,0.00777980151292776,9.67851917735143,0.00186434828971877,0.0289924165572291
"HSPA9-1",13446.2930815936,0.00305669863097454,0.0070966952268685,0.186930432013895,0.665483766732313,0.834421441036027
"INTS9-1",9925.90256645799,0.011492138999984,0.0052118192191688,4.94710264126374,0.0261344316830131,0.145119142388905
"INTS9-2",19084.3253495416,0.0147138078280123,0.00734566603301993,4.01012308814299,0.0452278487788799,0.205247191920399
"KARS-1",8492.43515941163,-0.00642968135987178,0.00730593548286006,0.783016237628686,0.376220251626914,0.603843635465818
"LIAS-1",8514.9249247697,-0.0634554756416581,0.00632368938930196,96.5990214197366,8.48902248652795e-23,7.58918610295598e-20
"LIAS-2",12993.5298360222,0.0018390194217566,0.00627527996202084,0.0867314979331582,0.768374244658611,0.892343348616084
"LSM3-1",12286.4591730523,0.000744429847585975,0.00544497459410855,0.0187046440103416,0.891216610888794,0.951908781522798
"LSM3-2",15879.5154689052,0.0240435854864809,0.00629845821554113,14.8915172382222,0.00011387389430072,0.0050901630752422
"LSM5-1",8466.55288380377,0.0298893271417528,0.00662473760054191,21.0036860666461,4.58400591464609e-06,0.000512262660961701
"LSM5-2",11939.3193576799,-0.00200868755290319,0.00828169050162497,0.057133255990351,0.811085702012876,0.917886394354928
"LSM6-1",6633.43064735837,-0.014570084338415,0.00844884288122724,2.98529605993562,0.0840239202874317,0.289838403366822
"MDM4-1",9116.93872784853,-0.0485153599464023,0.00799301346707654,35.5701173774399,2.46032973078254e-09,5.49883694829897e-07
"MRPS31-1",9358.02591704107,-0.00234026443464687,0.00608417023203425,0.146316252753167,0.702080832293733,0.855847922786206
"MRPS31-2",14536.1626290688,0.0101901320999722,0.00741196612483435,1.95338659531089,0.162222379780091,0.403974394215602
"MS4A13-1",13105.2752392931,0.00363675082973596,0.00713521022054235,0.258356378597341,0.611251599807965,0.796174352549689
"NACA-1",14514.4483003436,-0.00840829800757318,0.00560076159525103,2.18136825430767,0.139690224793735,0.368386610517992
"NAPG-1",8117.62154173363,0.0135917614890284,0.00716526440051955,3.60485421269584,0.057611119830068,0.22890818279147
"NEDD8-1",7728.05828255504,-0.00433633257774443,0.00861650393463787,0.245624546427393,0.620172960407972,0.801713911951503
"NHP2L1-1",5477.19186700321,0.00654497383916697,0.00784452981962875,0.692504499229557,0.405313811891654,0.631317663882415
"NUDT21-1",11684.8978101274,-0.00926780817885269,0.00606245781315052,2.28355830388844,0.130751588163982,0.357658271899824
"NUF2-1",14283.8487527239,0.0221178873713381,0.00581665343619565,14.43878955066,0.000144789114516962,0.00588370310809835
"NUP205-1",12746.4322814761,0.0107729929140119,0.00502894346105413,4.62164484807707,0.0315709497080136,0.166900073387139
"NUP205-2",14761.9360024209,0.0117283841610862,0.00708167387690884,2.7782059565169,0.0955551518682215,0.308704074226294
"PELP1-1",15291.1839049298,0.00653679802414513,0.0056102394212224,1.33421161724476,0.24805734653874,0.486322955714109
"PFDN2-1",13873.8522246782,0.0118533959524467,0.00516357574958641,5.34833709486014,0.0207420439185357,0.127885429401179
"PGLYRP4-1",14690.6916290093,-0.00654288745871441,0.0057401965380936,1.27258562176206,0.259282178905427,0.493955390724493
"PHB-1",20544.0787648542,-0.00522568923402564,0.00556594425313343,0.859337403275589,0.353924180989619,0.583981222513295
"PHB2-1",7816.73781711145,-0.0215485768699986,0.0100577804680314,4.36221711575561,0.0367444535757635,0.178530116830068
"POLA1-1",8902.84240893707,0.00112898144396029,0.00866321276358814,0.0169215443356734,0.896500889269707,0.954593770493201
"POLR1C-1",9281.84901433222,-0.00993077065405762,0.00664231411580328,2.19580346673524,0.138387032617806,0.368386610517992
"POLR2A-1",7396.697148772,-0.00170538048175353,0.00677629806505773,0.0634600278375501,0.801108513125788,0.910266375967937
"PRPF18-1",8556.9976615337,0.0209653098091328,0.00882828990869201,5.84118882052096,0.0156552456004182,0.110259976949286
"PRPF3-1",11016.449916521,-4.9692495993462e-06,0.00612038583795335,2.01310729153192e-06,0.998867929752313,0.998867929752313
"PRPF38A-1",10572.5273144041,-0.00911510978174909,0.00674997500656832,1.81950083483767,0.177372705234106,0.423344224508933
"PRPF38A-2",15538.9510232366,-0.0159922978810899,0.00561022389614657,8.18147284488597,0.00423203848409594,0.0500003765153201
"PSMA1-1",5934.30164234098,-0.00843639658015364,0.00660746720625353,1.60499915374669,0.205196194113584,0.448100052992173
"PSMA2-1",8215.41632045055,0.0148835534399062,0.00897673836913389,2.90793157935764,0.0881448558084324,0.298954303615049
"PSMA3-1",12774.0219607755,0.0016726245686185,0.0053946436487901,0.0979452954525755,0.754309432990046,0.886025719014353
"PSMA6-1",11327.6671845554,0.00063793107575594,0.00520810276937707,0.0150776190947681,0.902272635421427,0.954593770493201
"PSMB3-1",11460.5404655987,0.00950856848590346,0.00529361494339594,3.18705752327844,0.0742235014104672,0.267563751052249
"PSMC2-1",9029.31349486256,0.00356992842955779,0.00768321111586538,0.211482574884513,0.645607850543226,0.817432267793061
"PTGDR2-1",20061.625665738,-0.00127044134177281,0.0042904418299948,0.0861508513243336,0.769128801248762,0.892343348616084
"RILPL2-1",6958.11183957596,0.00976872324141075,0.00827435442624149,1.43677729714273,0.230661556547445,0.4751415473581
"RPA2-1",10539.7480231318,-0.00752653124572602,0.00632256702032671,1.37879979970216,0.240305690909953,0.482771432974153
"RPL10-1",10212.0347359791,-0.00520589078200976,0.00485009346375064,1.14468176551551,0.284665216057379,0.518311004389607
"RPL11-1",16435.2321678737,-0.0078585577493546,0.00367796772025585,4.5133565848935,0.0336311804743566,0.16893040768105
"RPL12-1",6040.20580137985,-0.0137081922713568,0.00859574245850582,2.46288226996353,0.116564712535923,0.334002733997164
"RPL13A-1",14754.197659403,-0.0074365423466147,0.00638898659770844,1.33549689734625,0.247829663312608,0.486322955714109
"RPL13A-2",7969.25539083604,0.0114988706798388,0.0101784887521058,1.26755843092911,0.260225216773968,0.493955390724493
"RPL13AP6-1",5938.16876420892,0.0171713003870469,0.00745686406368592,5.42585585772056,0.0198407084259865,0.125798534275404
