"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LIAS-1",8514.9249247697,-0.0634554756416581,0.00632368938930196,96.5990214197366,8.48902248652795e-23,7.58918610295598e-20
"LSM5-1",8466.55288380377,0.0298893271417528,0.00662473760054191,21.0036860666461,4.58400591464609e-06,0.000512262660961701
"MDM4-1",9116.93872784853,-0.0485153599464023,0.00799301346707654,35.5701173774399,2.46032973078254e-09,5.49883694829897e-07
"RPL17-1",11722.483896728,-0.0409772509250297,0.00590954062694912,47.0903900387129,6.77872400255289e-12,2.02005975276076e-09
"RPL34-1",9457.74529074053,-0.0561855081873375,0.00608615279035543,83.210021854898,7.37827019282459e-20,3.29808677619259e-17
"RPL9-1",5673.68838085054,-0.0371805735278492,0.00814064324916146,19.681445789366,9.14853346819178e-06,0.000817878892056345
"NEG-7",3578.41642675005,-0.050342899195976,0.0107635645401704,20.6486648471842,5.51756496403562e-06,0.000548078119760872
"OR4F6-1",20486.1426940348,0.0253064765874596,0.00521410616679242,23.7488182603871,1.09762748636145e-06,0.000140182710401019
"OR52I1-1",27150.6435690158,0.0222771806320695,0.0039690037935713,31.4303479454015,2.06724370234733e-08,3.69623173979702e-06
"MTOR-CHEK2-1",11167.9882900732,0.03592679218435,0.0066009030689688,30.9872247893341,2.59732414002837e-08,3.87001296864228e-06
