"","KRAB.Day5.1","KRAB.Day5.2","KRAB.Day5.3","KRAB.Day7.1","KRAB.Day7.2","KRAB.Day7.3","KRAB.Day14.1","KRAB.Day14.2","KRAB.Day14.3","KRAB.Day21.1","KRAB.Day21.2","KRAB.Day21.3","SID.Day5.1","SID.Day5.2","SID.Day5.3","SID.Day7.1","SID.Day7.2","SID.Day7.3","SID.Day14.1","SID.Day14.2","SID.Day14.3","SID.Day21.1","SID.Day21.2","SID.Day21.3","KRAB.Day5.1.1","KRAB.Day5.2.1","KRAB.Day5.3.1","KRAB.Day7.1.1","KRAB.Day7.2.1","KRAB.Day7.3.1","KRAB.Day14.1.1","KRAB.Day14.2.1","KRAB.Day14.3.1","KRAB.Day21.1.1","KRAB.Day21.2.1","KRAB.Day21.3.1","SID.Day5.1.1","SID.Day5.2.1","SID.Day5.3.1","SID.Day7.1.1","SID.Day7.2.1","SID.Day7.3.1","SID.Day14.1.1","SID.Day14.2.1","SID.Day14.3.1","SID.Day21.1.1","SID.Day21.2.1","SID.Day21.3.1"
"ALG10B-1",11978.5558920969,12586.8834628748,12630.233881098,12839.3482876406,12006.1809548565,12205.9996403809,12628.1788892168,13122.9759488985,13418.9000069439,13318.0722986117,14026.6238403426,13886.8269219671,12800.9450361883,12731.4797023305,11708.594007317,12025.4936520476,12329.3497287127,12528.9719542236,12436.5742116655,14037.8608026113,10979.6686632122,11110.2594278762,14041.5928378883,11465.0201032367,13064.3292916736,12727.6616462147,14235.6066030198,12708.6299805594,13800.4555348763,13919.2348589029,14313.6292045471,14117.1233610045,14484.3102127329,16560.4798803961,14507.6167401252,11877.2763266585,12749.3936814228,13823.8268706307,11803.5576589838,15027.2651223719,13007.4874970902,12651.026498161,13345.8625035009,15658.1011422961,14337.0065176956,11708.7706743416,13887.669788324,9765.35680600214
"BRIX1-1",17221.9842551091,17643.5045887691,16695.9920827798,18411.5772668096,18326.9383639262,17754.6777766793,20360.7084047205,20731.3874867754,20013.9568446292,20412.162332318,20507.2201802484,18631.7493802268,19009.4435827128,17244.9923820913,17613.1518661768,18640.2807610336,18450.9985567921,18818.6088863227,20473.3648355595,17026.799664832,18125.8118104783,19856.1535764455,17832.2185873363,19061.2481517775,11710.4428682638,10767.96081071,10889.4858446115,11935.9543237003,9781.77535018438,10579.1948585989,12110.9461160944,12319.7103879548,11865.8751034711,13565.3594399429,11175.7520733637,9859.79152248575,11050.0234161043,10950.8192942321,10707.4471339962,11512.2296425333,12109.3390227829,11200.4181737299,11401.7351465214,11155.4781612368,13492.1628657659,11902.5209087183,11865.5121285451,12723.0504737171
"CCNB3-1",20290.0180009321,20222.9574486184,19289.5196211654,18027.1194831872,19491.7171132779,19374.4985790672,19840.5718331079,18387.7250041258,18896.1998941881,19183.6361872088,19967.774471175,17942.0267127056,19239.6113287309,19811.0270507781,19938.2627328781,21258.6339916739,20615.4472150607,19649.0649472231,20263.3249155403,19357.8205671778,22225.7331837712,18908.0519326886,15708.3375104406,20983.3110999908,18632.8056776581,18569.9134619939,18655.988415267,19240.566143178,21100.5059430842,20637.7392483554,21337.063342987,21243.0764883648,22256.6984287248,20801.7389160569,18568.7736730019,21572.7685862021,18706.2463314128,20575.5133617927,20729.2486941571,19615.9938551475,20502.8498227921,18614.6384985998,20751.2203450867,21654.939735526,22547.6785028858,19793.8064963552,24388.175787628,24314.9932915639
"CCNB3-2",12093.6071575653,13293.4701396156,12419.673608174,11444.123047828,12609.9517576236,12047.6220164117,11280.5142455377,12863.2994606386,12889.5892567784,13240.2577827027,10579.7624862051,12568.9639679534,13744.7333047955,12790.0073267058,12783.739257709,14190.0546694031,12500.2587061464,14259.1678388195,13600.6375578773,12009.4431162316,13838.720113622,13337.218671856,11158.4169657188,11983.9581252864,15673.1469846227,16515.7236758862,16835.111221468,17372.0102559199,16677.6201654095,17783.7677669337,16288.9303594167,18468.0259506209,17272.9436040966,16646.4809947133,15398.4131758991,13632.2494593147,17104.8533246083,17821.1924106929,16597.6960491299,15845.1902555026,16878.9251648312,17228.1012112727,17278.8217502676,16350.0747894296,17277.8809600531,18236.7408107128,17123.7185506545,19258.4452995693
"CCT3-1",14694.8236998212,15817.6658051109,15088.4616457172,14046.680625683,15051.5072129956,15429.2573530219,11320.7180385126,13175.5686553816,10815.9707684925,9288.22358077753,10246.3622591002,8495.28946290626,15524.7642139577,15085.2082825973,16627.6020533176,16141.6395866586,16070.2245494641,15080.1329733095,16513.5596065652,14876.3645526595,15361.8310006086,15937.1371545807,11240.2921426161,19985.2803884803,16708.8026291081,17128.9569652993,16485.811615005,17738.5600492348,17667.1933761819,18025.8414166537,19787.3093822532,19799.2378186936,20439.0680570456,18224.3381737155,17506.3790569656,19980.2589705334,17115.5567225972,16411.9865463123,18684.6105479669,18465.9253997683,18635.5364831857,17624.5407533532,20735.625740619,19825.9239407354,20694.2844706248,22568.8749574808,20258.3611766539,17911.433648575
"CCT4-1",10043.8432325542,10900.9511925812,9945.37899542003,10795.6516483847,10132.7605887663,10037.864581217,9171.49027239663,8961.57804842958,9693.36665000957,9492.19193308453,10717.4712756615,8970.50016984423,10255.0284394025,8821.60487396924,9897.01796549812,10420.5168976998,10233.0256278828,10335.6188608056,10839.165346256,9897.07744090647,9181.24904632814,7260.92749535584,12285.1753525437,8502.23501573912,10864.8260988251,11139.3023865795,12109.6806962989,10852.3238293247,11099.5829822465,10281.4058450543,10962.6038369934,10956.1875522104,10067.8829951114,11102.9193708214,10677.7808835826,10686.7950750607,11987.8057475955,12085.4634320882,12708.2716056252,10815.9719830605,10693.1886377123,12186.5114791575,11684.5173075366,11022.0375156579,10504.5150724366,11684.5518950445,10641.6792479218,11401.8326628483
"CCT8-1",18483.5808902449,15386.1894151543,18626.5507297098,17974.1240493545,18111.0877565288,18549.8426749519,17234.8635009229,17941.7826804052,21111.3556892948,18432.608207905,20228.6963880397,19835.6849293375,18773.2452407291,17872.7298435276,18226.1157741747,18952.0889075851,19903.1272811413,20437.7609319182,21110.1174351968,20741.9862453715,18334.7691558321,19225.0672856218,23465.0358169737,13618.5654598231,16251.1350424571,17308.4859714448,17250.3164140561,16147.0366535823,18560.3416382668,19054.6544279639,18191.8249767766,17316.8323310046,16054.2802636611,18413.0140877787,17304.4988448922,19037.6034228148,17485.2356223685,17321.1260961008,17242.6025922327,15902.0276154595,16060.1479510441,15947.6815791489,16648.7997297705,17598.1843007721,17990.2001175625,16566.6541550173,20774.3394585739,20219.5046760942
"CDC5L-1",7927.9578906073,8296.80894802047,8381.8209848315,8569.84342741283,8213.52287676624,7870.82178152881,8418.50673313777,8656.97862338209,8142.2728766307,8208.25242058558,7302.7074589161,7211.2968184583,8111.15157365263,8287.97065172445,8400.11858233048,8453.61997324747,8423.54176889952,10425.7826617034,8670.22680374153,8067.79219342065,7361.04240765366,8608.48811324223,8960.45834782084,5226.37945790078,10706.2729545554,10207.6413336346,10408.3750658984,10729.8264690909,10822.9699981329,9617.62452776643,9086.38531240017,10202.880420208,11678.2205873074,9188.95579606951,11734.2873267667,10378.3897546776,10197.8682685246,10810.7690763796,10009.5029848455,10405.6772908712,11219.5454180041,9609.65445563405,12835.3991172566,12468.3103809139,10383.6839157592,12200.2100709118,11357.4872690825,9325.90619645792
"CHMP2A-1",10504.0482944277,11591.0782795145,11853.105805527,12594.605738668,13098.670113995,14303.1378336275,13269.7644187744,12835.9074260121,14206.0800969337,13842.7307770892,13004.6796659558,15841.0411466105,12263.2168959276,12119.8086475854,12802.3139215877,10896.5811214525,13127.7217351862,12543.2083438391,12487.4259817754,13318.4460601369,13471.3117007013,12194.7856352793,18529.1322954503,15391.6827600258,11703.6959259545,10920.0880211807,10857.4745599222,12062.2208334797,12107.6619912518,10579.1948585989,11681.5880515633,10537.0681429836,10615.5723387987,12628.1228063643,10705.5394127427,11799.2571235854,12466.1653038697,12258.7459050244,11050.2699209138,12345.2521994026,13410.6099518375,11345.5791171685,13243.9777543116,15303.3248151283,11443.879871122,11554.3759563226,18506.6198804246,10248.7524765008
"CLTC-1",13478.1896282018,14590.2506794579,15241.5195147905,15994.9854840401,16530.8984042614,14756.425516022,15421.5049219513,17518.849665771,16372.7642116223,16296.2460438572,16169.9110145885,17210.2227514815,14624.1952164369,15017.4998543985,14034.7975013053,13814.2144927561,14336.0362539656,14837.1652572061,14713.8491339793,14256.516029632,12667.1725327994,15016.5167178892,13477.238939989,13969.5838659628,17007.9170714894,16837.9309974422,18889.4824918244,17498.2767656994,16543.2096308754,16598.3753710823,19357.9513177221,17644.5578602458,20627.8135878383,19322.1687248456,16754.3752669921,21642.5269324792,20319.166074513,18198.6158791429,19959.8190759855,18838.0324907365,15850.231854142,18163.1379090081,20695.0797690028,19115.572240618,17593.6010791134,18478.9286036838,19332.7816381809,17817.8115621939
"COPA-1",10654.8051250414,9691.17134172209,10495.8799499323,10389.9956912292,9963.74549052119,10396.12568923,11223.5588721566,9459.01739724815,11466.4607197033,9955.54200508828,9180.93109856927,11631.8854033003,10967.6438626639,10015.1093710329,9852.22024673179,11887.685587277,10120.6798664928,9622.85028739288,11305.6750633513,10501.3077334325,9633.82490806603,14546.3917827344,8564.72832615052,11224.0507109138,9013.91492529314,8790.30707459063,8958.45217114636,9041.24747263787,9060.04921909938,9824.15561780536,9186.73823280834,8236.52724476079,9933.68819576175,10715.9143563943,8901.23501733661,10101.1921155237,9014.731121595,9894.50832907315,9078.65456565891,8158.82540507243,10336.0179653715,9201.20159409653,8629.01447215531,9692.42533456071,9342.97685663466,6920.516184145,10644.6617813433,7808.84626611832
"COPS2-1",11015.8280615111,9150.35624804355,10075.6050276702,10701.2234208283,10992.0903653859,11110.4633863046,11417.8772048686,11290.9966730733,9274.57133119728,12880.6603985776,9552.64128965829,10135.4335443034,10422.88002711,8169.76780249603,11186.3181641389,10286.884834892,9837.42512766912,10178.0694823948,9638.62138235655,9433.41122289379,11231.2097329746,10421.2663078789,10042.3803282496,8505.08111092403,10816.4730122748,10015.8287639106,9876.42283503156,9596.25474323544,9729.17992362758,11348.643245209,10595.4899889179,9406.18427447519,10906.873244704,9826.94365432016,10136.9101487359,9033.70584288818,9736.79881669399,10345.5175052084,9962.61466645544,9992.71834743387,9871.27834785203,11183.3993044992,10319.4695964595,10223.7907795304,10538.6206408536,9251.57369149044,8285.47784493466,10220.0926541392
"COPS4-1",16626.8915026865,16791.1329737322,15567.930219002,18083.0055770471,17054.2343108757,18440.616727387,16163.5999339461,16222.6585872415,16250.6155769687,16707.7197719216,17421.71497288,16406.5726790572,15792.1206350967,13982.3642232914,17038.4299132234,17277.5121205249,17462.5948900952,17622.7521586262,15257.7419795028,17495.3465798764,18334.7691558321,12994.6850552191,16573.8750947836,18860.1240920435,13653.5622533569,14955.7111014318,14930.4397824529,16312.8792335911,13185.8682356662,14105.5931447985,18941.2961545085,17089.732386798,14457.0348470114,15796.1230378427,15074.5636690313,17039.393951166,14882.6632344462,14266.9236050794,12544.5468217385,14387.844822856,15376.093008403,14418.9866782474,13985.2412866787,15239.4011525756,16686.3929592211,12954.0195765339,15575.7837048946,14031.8490282293
"COPZ1-1",9284.76936613075,8522.54046538195,9444.76983248417,9772.35799874307,9053.50755177952,9746.23130121864,8922.7293033645,8855.29695407848,9228.03851799591,9624.24080856651,7946.72901562187,7696.77125556772,9703.22890855545,9521.64116551616,8683.10904965926,8317.20390913118,7751.85753590838,10140.1057767537,9624.25022993418,8977.55412013185,10728.1275934498,7641.73850754806,7595.87206619904,12642.354811397,10079.9318101706,10473.1552848288,10277.5054020214,8593.66096409144,11161.9183026101,11168.0486176401,9920.96592895923,11951.3653564978,9462.36987609463,9818.16803041024,11539.9776226461,10926.359922144,10157.5246914894,9699.07101941453,9247.75997624607,10608.1603857179,8654.60047277293,10069.1639248638,10790.4266513855,10135.0966977385,10769.5640612773,8840.86355924386,10813.6720085618,9755.80353188161
"CYP1A2-1",21292.4186816794,23006.9794960766,23202.2199537739,22233.0298228158,23166.2682552451,22519.1136094615,26048.7075316471,21960.742000816,22121.5055092078,23873.7292824529,23909.5591438098,24714.035879826,22680.0663270721,20851.9006842749,23380.0386868767,26425.7404202421,22946.0241800655,24494.182879676,27058.6690647943,25379.6245649046,25218.4777224405,23839.9471292502,23262.2972837041,27623.2511663999,19242.2794662695,19001.7279662493,19821.5757813079,20016.0686621963,18062.6330647386,21327.4570281133,19112.7853222946,20138.9645644986,19529.1618565772,20443.6934605324,21630.6235561152,19262.4823022608,18708.7163463333,18749.3218205292,20879.1375808139,19235.0059266859,22020.303000895,20932.2080438434,19759.4035009378,18851.8871325879,21077.2412817071,18229.6770000845,17146.5846402194,21372.5848624418
"CYP1A2-2",16648.050356106,15816.4901201246,15538.3333934906,15519.953686231,15259.2125144534,15779.8726447053,15034.543414568,15603.598604681,14379.6087128305,14629.1289908971,16691.7548483179,14718.1890658543,15413.1981885952,15422.6028231134,14718.7821829571,15293.9111882216,14340.8169246631,14840.0125351292,15907.7602582992,15388.8377409893,17471.2108375926,13718.0296840482,17771.7869091502,15091.8940672147,17133.8599945972,16602.6535104409,18014.8212131071,15755.9873882207,17477.265446949,19277.5158832618,17598.5994852498,18672.9698027098,18754.5414700872,16434.1108960934,16530.6246986108,18495.1404932124,17174.0137423829,17561.6643233729,17122.6914829073,16862.934232232,17730.077498041,17409.3021130822,18375.6422644994,17741.2134957338,18731.7526194293,19479.971481297,15952.5770938111,20808.9416893307
"DDX18-1",9760.8435680688,9327.88468096846,8751.35849193112,9218.31482685614,9495.39039899863,9781.18360443942,10133.868566733,9417.38150461576,9255.18265903004,8855.52771201067,10117.9721095318,8569.18832014067,8945.38401555247,9217.52703886053,8277.74432618831,9906.86865628228,9793.20392371774,7787.30511964282,10174.7759150372,9930.26618072211,9136.68468357496,11813.9746230871,11442.0559713988,9138.81163876533,10309.3278486886,11118.5148174468,11818.7546089753,10939.9565562611,10714.8571768773,10328.4757213888,13044.6093629299,10940.493653627,10140.980975245,12416.6302701354,11797.3748930397,11472.4943436557,11703.7540317356,10629.5741617568,11857.3639259889,11360.3673213983,11036.7826470694,10497.6389854963,11713.6272358764,9852.23449094259,11182.7286615289,13788.5583464796,8051.84606025028,12885.4561337661
"DYNC1I2-1",17965.1889814679,18470.0111341082,20834.473912861,20379.153192015,20687.0407599029,19467.3406344974,21929.4939097615,20281.0624375146,20546.1758956199,21347.1155310432,23556.4862324968,21683.1563601978,18986.3262981782,19823.6506560355,20420.1113664379,19344.633092083,19463.3055769763,22231.5460234629,16795.4552886963,20072.3546126205,19949.9797258419,20688.4415618553,20117.9006090528,31131.5378310064,17666.868437036,16339.0293382588,17840.6421640623,15538.3190019592,17800.6299213352,17130.553156578,18289.6373169212,19393.0427965355,17287.1267942718,18246.2772334903,19452.8407683733,19629.6314931931,16732.7044099164,15874.7317557933,16505.4567342641,16509.4768999996,20249.0706608657,17354.241065571,17407.737147201,15611.7564869454,17223.3120505859,16682.7024724825,15289.4604964303,17183.4741605909
"DYNC1I2-2",16458.9431036695,17204.9740888949,16911.6260972201,17316.0171164871,16076.797598133,17923.9779954049,17675.430065606,15350.4962047314,18321.3257644295,16859.8117802892,16105.7159398043,18010.7937048543,16946.9797624978,15213.7395361273,17272.2521526379,15524.9832968268,16967.7954729095,18024.2183457814,17607.9781371918,17628.101539139,16201.621658713,15068.5347169773,15452.96493488,14421.1643019695,13105.9354359146,13944.6793299805,12871.3609702304,13639.6099183359,14250.4386287511,11195.9062995523,14661.6887006463,14496.5464385204,13471.8486371517,13582.9106877628,12842.1049905196,14250.8958460355,11816.5513797727,15002.7806819317,12718.264198069,14225.3254967291,13016.8867253097,13839.3440144479,13155.6083289944,10998.8651879825,15331.9146706602,15671.5684368288,12095.1672020008,16032.3046290675
"EFTUD2-1",9108.88639708142,8362.6473072509,8855.37019301407,8843.49257665785,9043.32591935512,8823.27204429499,8088.50059913555,9112.78207956827,8769.49642124078,8572.56583597784,8980.06263876072,8811.41235218681,9151.42937770845,8504.8671420562,8444.91630109682,9347.28439327462,8820.33743678752,10570.9938357808,8993.0249966132,7725.16726179444,8537.54158433771,6052.73585615835,7204.04086247621,9684.31321587424,13112.682378224,12116.3181358138,12776.2686245356,13415.3455203695,12158.3094390473,12564.7751521359,13616.2399222169,13013.0114371383,11920.4258349141,13349.4790917591,12228.0526787963,12055.3436842606,11899.7085487636,13721.7563728738,12563.7633456689,13180.0509237705,12494.7073797822,12265.5991655827,12191.8617728874,13859.4490872181,12481.6635958107,16318.4116672221,15738.82886527,11796.3828840261
